trip_id,start_time,end_time,headway_secs
96:WD:0,17:00:00,19:00:00,360
96:WD:0,19:00:00,25:00:00,450
97:WD:0,05:00:00,06:30:00,570
97:WD:0,06:30:00,08:30:00,570
97:WD:0,08:30:00,17:00:00,570
97:WD:0,17:00:00,19:00:00,570
97:WD:0,19:00:00,25:00:00,810
97:WD:1,05:00:00,06:30:00,630
97:WD:1,06:30:00,08:30:00,630
97:WD:1,08:30:00,17:00:00,630
97:WD:1,17:00:00,19:00:00,570
97:WD:1,19:00:00,25:00:00,780
974:WD:0,05:00:00,06:30:00,900
974:WD:0,06:30:00,08:30:00,900
974:WD:0,08:30:00,17:00:00,900
974:WD:0,17:00:00,19:00:00,900
974:WD:0,19:00:00,25:00:00,900
974:WD:1,05:00:00,06:30:00,900
974:WD:1,06:30:00,08:30:00,900
974:WD:1,08:30:00,17:00:00,900
974:WD:1,17:00:00,19:00:00,900
974:WD:1,19:00:00,25:00:00,900
97e:WD:0,06:30:00,08:30:00,720
97e:WD:1,17:00:00,19:00:00,720
98:WD:0,05:00:00,06:30:00,660
98:WD:0,06:30:00,08:30:00,390
98:WD:0,08:30:00,17:00:00,660
98:WD:0,17:00:00,19:00:00,540
98:WD:0,19:00:00,25:00:00,900
98A:WD:0,17:00:00,19:00:00,480
98A:WD:0,19:00:00,25:00:00,900
98B:WD:0,06:30:00,08:30:00,420
98M:WD:0,05:00:00,06:30:00,960
98M:WD:0,08:30:00,17:00:00,960
98M:WD:0,19:00:00,25:00:00,960
990:WD:0,05:00:00,06:30:00,720
990:WD:0,06:30:00,08:30:00,720
990:WD:0,08:30:00,17:00:00,720
990:WD:0,17:00:00,19:00:00,720
990:WD:0,19:00:00,25:00:00,750
225:WD:0,05:00:00,06:30:00,480
225:WD:0,06:30:00,08:30:00,240
225:WD:0,08:30:00,17:00:00,480
225:WD:0,17:00:00,19:00:00,270
225:WD:0,19:00:00,25:00:00,480
225:WD:1,05:00:00,06:30:00,420
225:WD:1,06:30:00,08:30:00,300
225:WD:1,08:30:00,17:00:00,420
225:WD:1,17:00:00,19:00:00,330
225:WD:1,19:00:00,25:00:00,420
243:WD:0,05:00:00,06:30:00,270
243:WD:0,06:30:00,08:30:00,330
243:WD:0,08:30:00,17:00:00,270
243:WD:0,17:00:00,19:00:00,240
243:WD:0,19:00:00,25:00:00,360
243:WD:1,05:00:00,06:30:00,300
243:WD:1,06:30:00,08:30:00,390
243:WD:1,08:30:00,17:00:00,300
243:WD:1,17:00:00,19:00:00,240
243:WD:1,19:00:00,25:00:00,390
410:WD:0,05:00:00,06:30:00,450
410:WD:0,06:30:00,08:30:00,330
410:WD:0,08:30:00,17:00:00,450
410:WD:0,17:00:00,19:00:00,270
410:WD:0,19:00:00,25:00:00,480
410:WD:1,05:00:00,06:30:00,510
410:WD:1,06:30:00,08:30:00,330
410:WD:1,08:30:00,17:00:00,510
410:WD:1,17:00:00,19:00:00,360
410:WD:1,19:00:00,25:00:00,600
533:WD:0,06:30:00,08:30:00,600
538:WD:0,06:30:00,08:30:00,600
539:WD:0,06:30:00,08:30:00,600
560:WD:0,06:30:00,08:30:00,300
564:WD:0,06:30:00,08:30:00,300
585:WD:0,06:30:00,08:30:00,600
761:WD:0,06:30:00,08:30:00,600
529:WD:0,17:00:00,19:00:00,1500
529:WD:0,19:00:00,25:00:00,1500
530:WD:0,06:30:00,08:30:00,900
531:WD:0,06:30:00,08:30:00,360
531:WD:1,17:00:00,19:00:00,900
590:WD:0,06:30:00,08:30:00,600
598:WD:0,06:30:00,08:30:00,600
3A:WD:0,05:00:00,06:30:00,2610
3A:WD:0,08:30:00,17:00:00,2610
3A:WD:0,17:00:00,19:00:00,1350
3A:WD:0,19:00:00,25:00:00,3330
36B:WD:0,05:00:00,06:30:00,3240
36B:WD:0,06:30:00,08:30:00,480
36B:WD:0,08:30:00,17:00:00,3240
36B:WD:0,17:00:00,19:00:00,540
NS:WD:0,05:16:00,07:30:00,300
NS:WD:0,07:30:00,09:30:00,210
NS:WD:0,09:30:00,17:30:00,300
NS:WD:0,17:30:00,19:30:00,210
NS:WD:0,19:30:00,22:46:00,300
NS:WD:1,06:10:00,07:30:00,300
NS:WD:1,07:30:00,09:30:00,210
NS:WD:1,09:30:00,17:30:00,300
NS:WD:1,17:30:00,19:30:00,210
NS:WD:1,19:30:00,23:48:00,300
EW:WD:0,05:28:00,07:30:00,300
EW:WD:0,07:30:00,09:30:00,210
EW:WD:0,09:30:00,17:30:00,300
EW:WD:0,17:30:00,19:30:00,210
EW:WD:0,19:30:00,23:23:00,300
EW:WD:1,05:19:00,07:30:00,300
EW:WD:1,07:30:00,09:30:00,210
EW:WD:1,09:30:00,17:30:00,300
EW:WD:1,17:30:00,19:30:00,210
EW:WD:1,19:30:00,23:20:00,300
CG:WD:0,05:20:00,08:00:00,720
CG:WD:0,08:00:00,09:00:00,480
CG:WD:0,09:00:00,12:30:00,720
CG:WD:0,12:30:00,14:00:00,480
CG:WD:0,14:00:00,19:30:00,720
CG:WD:0,19:30:00,22:15:00,480
CG:WD:0,22:15:00,23:50:00,720
CG:WD:1,05:31:00,08:00:00,720
CG:WD:1,08:00:00,09:00:00,480
CG:WD:1,09:00:00,12:30:00,720
CG:WD:1,12:30:00,14:00:00,480
CG:WD:1,14:00:00,19:30:00,720
CG:WD:1,19:30:00,22:15:00,480
CG:WD:1,22:15:00,23:18:00,720
NE:WD:0,05:50:00,07:30:00,270
NE:WD:0,07:30:00,09:30:00,180
NE:WD:0,09:30:00,17:30:00,270
NE:WD:0,17:30:00,19:30:00,180
NE:WD:0,19:30:00,23:55:00,270
NE:WD:1,05:42:00,07:30:00,270
NE:WD:1,07:30:00,09:30:00,180
NE:WD:1,09:30:00,17:30:00,270
NE:WD:1,17:30:00,19:30:00,180
NE:WD:1,19:30:00,23:28:00,270
CC:WD:0,05:30:00,07:00:00,360
CC:WD:0,07:00:00,10:00:00,210
CC:WD:0,10:00:00,17:00:00,360
CC:WD:0,17:00:00,21:00:00,210
CC:WD:0,21:00:00,23:03:00,360
CC:WD:1,05:30:00,07:00:00,360
CC:WD:1,07:00:00,10:00:00,210
CC:WD:1,10:00:00,17:00:00,360
CC:WD:1,17:00:00,21:00:00,210
CC:WD:1,21:00:00,23:03:00,360
CE:WD:0,06:10:00,07:00:00,420
CE:WD:0,07:00:00,10:00:00,420
CE:WD:0,10:00:00,17:00:00,420
CE:WD:0,17:00:00,21:00:00,420
CE:WD:0,21:00:00,23:43:00,420
CE:WD:1,05:59:00,07:00:00,420
CE:WD:1,07:00:00,10:00:00,420
CE:WD:1,10:00:00,17:00:00,420
CE:WD:1,17:00:00,21:00:00,420
CE:WD:1,21:00:00,23:55:00,420
DT:WD:0,05:30:00,07:30:00,270
DT:WD:0,07:30:00,09:30:00,150
DT:WD:0,09:30:00,17:30:00,270
DT:WD:0,17:30:00,19:30:00,150
DT:WD:0,19:30:00,23:35:00,270
DT:WD:1,05:36:00,07:30:00,270
DT:WD:1,07:30:00,09:30:00,150
DT:WD:1,09:30:00,17:30:00,270
DT:WD:1,17:30:00,19:30:00,150
DT:WD:1,19:30:00,23:40:00,270
SE:WD:0,05:00:00,06:45:00,330
SE:WD:0,06:45:00,08:45:00,210
SE:WD:0,08:45:00,18:15:00,330
SE:WD:0,18:15:00,20:30:00,210
SE:WD:0,20:30:00,25:00:00,330
SE:WD:1,05:00:00,06:45:00,330
SE:WD:1,06:45:00,08:45:00,210
SE:WD:1,08:45:00,18:15:00,330
SE:WD:1,18:15:00,20:30:00,210
SE:WD:1,20:30:00,25:00:00,330
SW:WD:0,05:00:00,06:45:00,330
SW:WD:0,06:45:00,08:45:00,210
SW:WD:0,08:45:00,18:15:00,330
SW:WD:0,18:15:00,20:30:00,210
SW:WD:0,20:30:00,25:00:00,330
SW:WD:1,05:00:00,06:45:00,330
SW:WD:1,06:45:00,08:45:00,210
SW:WD:1,08:45:00,18:15:00,330
SW:WD:1,18:15:00,20:30:00,210
SW:WD:1,20:30:00,25:00:00,330
PE:WD:0,05:00:00,06:45:00,405
PE:WD:0,06:45:00,08:45:00,210
PE:WD:0,08:45:00,18:15:00,405
PE:WD:0,18:15:00,20:30:00,210
PE:WD:0,20:30:00,25:00:00,405
PE:WD:1,05:00:00,06:45:00,405
PE:WD:1,06:45:00,08:45:00,210
PE:WD:1,08:45:00,18:15:00,405
PE:WD:1,18:15:00,20:30:00,210
PE:WD:1,20:30:00,25:00:00,405
PW:WD:0,05:00:00,06:45:00,405
PW:WD:0,06:45:00,08:45:00,210
PW:WD:0,08:45:00,18:15:00,405
PW:WD:0,18:15:00,20:30:00,210
PW:WD:0,20:30:00,25:00:00,405
PW:WD:1,05:00:00,06:45:00,405
PW:WD:1,06:45:00,08:45:00,210
PW:WD:1,08:45:00,18:15:00,405
PW:WD:1,18:15:00,20:30:00,210
PW:WD:1,20:30:00,25:00:00,405
BP:WD:0,05:00:00,06:00:00,210
BP:WD:0,06:00:00,08:30:00,165
BP:WD:0,08:30:00,18:00:00,390
BP:WD:0,18:00:00,19:30:00,330
BP:WD:0,19:30:00,25:00:00,390
BP:WD:1,05:00:00,06:00:00,210
BP:WD:1,06:00:00,08:30:00,165
BP:WD:1,08:30:00,18:00:00,390
BP:WD:1,18:00:00,19:30:00,330
BP:WD:1,19:30:00,25:00:00,390
BP-C:WD:0,10:00:00,16:00:00,1200
